CONTROL_NUMBER_N,TARGET_B,MONTHS_SINCE_ORIGIN,DONOR_AGE,IN_HOUSE,URBANICITY,SES,CLUSTER_CODE,HOME_OWNER,DONOR_GENDER,INCOME_GROUP,PUBLISHED_PHONE,OVERLAY_SOURCE,MOR_HIT_RATE,WEALTH_RATING,MEDIAN_HOME_VALUE,MEDIAN_HOUSEHOLD_INCOME,PCT_OWNER_OCCUPIED,PER_CAPTITA_INCOME,PCT_MALE_MILITARY,PCT_MALE_VETERANS,PCT_VIETNAM_VETERANS,PCT_WWII_VETERANS,PEP_STAR,RECENT_STAR_STATUS,RECENCY_STATUS_96NK,FREQUENCY_STATUS_97NK,RECENT_RESPONSE_PROP,RECENT_AVG_GIFT_AMT,RECENT_CARD_RESPONSE_PROP,RECENT_AVG_CARD_GIFT_AMT,RECENT_RESPONSE_COUNT,RECENT_CARD_RESPONSE_COUNT,MONTHS_SINCE_LAST_PROM_RESP,LIFETIME_CARD_PROM,LIFETIME_PROM,LIFETIME_GIFT_AMOUNT,LIFETIME_GIFT_COUNT,LIFETIME_AVG_GIFT_AMT,LIFETIME_GIFT_RANGE,LIFETIME_MAX_GIFT_AMT,LIFETIME_MIN_GIFT_AMT,LAST_GIFT_AMT,CARD_PROM_12,NUMBER_PROM_12,MONTHS_SINCE_LAST_GIFT,MONTHS_SINCE_FIRST_GIFT,FILE_AVG_GIFT,FILE_CARD_GIFT
10165,0,137,37,0,R,1,42,H,F,4,0,P,0,6,1087,326,72,19185,0,58,33,47,1,0,A,1,0.1,18,0,0,2,0,26,29,65,126,15,8.4,18,20,2,20,5,10,26,116,8.4,9
10166,0,113,,0,C,2,29,U,F,,0,N,0,5,835,242,71,15471,0,51,6,83,0,0,A,1,0.048,22,0,0,1,0,30,28,62,124,7,17.71,20,25,5,25,6,13,18,102,17.71,3
10167,1,125,86,0,U,3,8,U,M,1,0,M,8,3,775,236,91,15628,0,33,13,66,1,1,S,3,0.278,6.2,0.375,5,5,3,16,25,63,91,23,3.96,7,9,2,4,4,11,15,125,3.96,12
10168,0,17,26,0,U,2,7,U,F,2,1,B,0,,664,235,43,15141,0,28,25,50,0,0,F,1,0.2,20,0.5,20,1,1,17,5,13,20,1,20,0,20,20,20,4,10,17,17,20,1
10169,0,29,50,0,C,1,24,U,M,,0,N,0,,1095,450,91,23627,0,38,30,54,0,0,A,1,0.143,25,0.143,25,2,1,18,11,24,50,2,25,0,25,25,25,6,13,18,29,25,1
10170,0,65,67,0,U,3,8,H,M,1,0,B,0,5,1535,405,58,13541,0,19,47,0,0,0,A,1,0.1,20,0.111,20,2,1,16,18,46,72,6,12,15,20,5,20,6,14,16,56,12,3
10171,0,77,,0,T,3,41,U,U,,0,N,0,,0,0,0,0,0,0,0,0,0,0,A,1,0.105,15,0.25,15,2,2,16,18,50,55,6,9.17,15,20,5,20,6,14,16,69,9.17,4
10172,0,41,45,0,C,1,24,H,M,5,1,B,2,,683,224,51,14675,0,29,57,21,0,0,A,1,0.182,21.5,0.273,22.33,4,3,25,16,37,137,7,19.57,10,25,15,25,6,13,25,42,19.57,4
10173,0,41,83,0,U,2,5,H,F,2,1,P,0,7,797,342,64,12321,0,32,28,41,0,0,A,1,0.105,22.5,0.222,22.5,2,2,21,15,38,65,3,21.67,5,25,20,25,6,12,21,44,21.67,3
10174,0,137,37,0,R,2,49,U,F,2,1,B,3,2,588,249,78,12174,0,33,32,30,1,0,F,1,0.133,12.5,0.167,5,2,1,18,28,72,172,14,12.29,15,20,5,20,5,14,18,129,12.29,11
10175,0,29,52,0,C,1,23,U,U,,0,N,0,,2500,154,9,17622,4,23,7,72,0,0,A,3,0.278,13.8,0.333,11.33,5,3,17,13,31,69,5,13.8,15,20,5,17,6,13,17,33,13.8,3
10176,0,77,45,0,U,2,4,U,F,,0,N,0,7,1113,379,68,21067,1,25,39,40,1,0,A,1,0.063,23,0,0,1,0,24,15,48,58,4,14.5,18,23,5,23,5,10,24,69,14.5,3
10177,0,65,44,0,S,3,21,H,F,4,1,B,3,5,485,398,84,9150,0,28,32,24,0,0,A,1,0.05,15,0,0,1,0,26,18,47,52,5,10.4,10,15,5,15,4,10,26,61,10.4,3
10178,1,89,73,0,R,3,51,H,F,4,0,P,0,,419,212,73,10063,0,29,28,33,1,1,S,2,0.143,12,0,0,2,0,19,20,54,98,12,8.17,8,13,5,13,4,8,19,88,8.17,8
10179,0,53,78,0,C,3,30,U,F,,0,N,0,1,452,244,66,9859,2,33,28,18,0,0,A,1,0.143,22,0,0,1,0,21,7,16,32,2,16,12,22,10,22,3,5,21,49,16,0
10180,1,41,61,0,S,2,19,H,F,4,1,B,1,,1814,328,53,10846,0,17,31,36,0,0,A,1,0.105,13.5,0,0,2,0,18,13,32,32,3,10.67,15,20,5,20,6,12,18,40,10.67,1
10181,0,17,43,0,T,2,40,H,F,2,0,P,0,,921,421,91,15360,0,23,36,16,0,0,F,1,0.2,15,0.5,15,1,1,17,5,13,15,1,15,0,15,15,15,4,10,17,17,15,1
10182,0,17,27,0,S,1,12,H,F,2,0,B,0,,2171,545,81,22696,0,24,38,24,0,0,F,1,0.143,20,0.333,20,1,1,21,6,15,20,1,20,0,20,20,20,4,10,21,21,20,1
10183,1,113,49,0,R,3,53,H,F,4,0,P,0,0,481,162,77,10228,0,32,23,47,1,1,S,2,0.158,11,0.333,11,3,3,17,27,63,114,11,10.36,5,13,8,13,6,13,17,105,10.36,8
10184,0,77,58,0,S,1,12,H,F,6,1,B,7,9,775,457,92,15456,0,33,35,32,1,1,S,2,0.273,12.5,0.364,7.5,6,4,18,24,59,152,22,6.91,22,25,3,25,6,13,18,76,6.91,12
10185,0,17,37,0,S,2,17,H,F,3,1,B,0,,783,364,65,18021,0,33,27,35,0,0,F,1,0.143,25,0.333,25,1,1,21,7,16,25,1,25,0,25,25,25,5,11,21,21,25,1
10186,0,77,60,0,C,3,31,H,F,4,0,B,1,6,912,228,34,14206,0,0,0,0,1,1,S,1,0.227,12.4,0.273,13.67,5,3,24,24,62,200,19,10.53,12,16,4,12,6,12,24,75,10.53,8
10187,0,137,17,0,S,2,16,H,U,5,1,B,8,5,1041,349,89,14345,0,34,47,37,1,1,S,3,0.238,10.2,0.273,9.67,5,3,17,34,85,234,38,6.16,9,12,3,12,6,13,17,129,6.16,20
10188,0,137,45,0,R,2,46,H,F,4,1,B,0,2,784,255,79,11730,0,53,22,33,1,0,A,1,0.105,37.5,0.2,37.5,2,2,18,30,70,179,12,14.92,45,50,5,50,6,13,18,124,14.92,10
10189,0,65,56,0,C,3,32,U,F,,0,N,0,,282,182,64,8184,0,24,33,29,0,0,A,4,0.222,11,0.286,12,4,2,16,14,41,62,7,8.86,7,12,5,12,6,14,16,57,8.86,3
10190,1,17,52,0,R,2,47,U,M,2,1,B,3,,475,285,85,9446,1,21,29,32,0,0,F,1,0.167,25,0,0,1,0,20,6,15,25,1,25,0,25,25,25,5,10,20,20,25,0
10191,0,77,,0,C,2,27,U,U,,0,N,0,,555,241,59,10336,0,20,31,26,1,0,A,4,0.25,5.6,0.3,6,5,3,21,21,54,65,12,5.42,5,8,3,5,6,12,21,65,5.42,6
10192,1,29,55,0,U,4,10,H,F,2,0,P,0,,348,184,43,11686,0,21,31,25,0,0,A,1,0.111,27.5,0.25,27.5,2,2,17,12,30,55,2,27.5,5,30,25,30,6,13,17,33,27.5,2
10193,0,101,53,0,C,1,24,H,M,7,1,B,2,9,983,372,54,17821,0,24,59,30,0,0,A,1,0.053,20,0,0,1,0,18,23,60,115,5,23,5,25,20,20,6,15,18,92,23,3
10194,0,89,75,1,T,1,35,H,F,6,0,B,0,,2315,766,94,46168,0,60,16,72,0,0,E,4,0.375,6.33,0.5,8.5,3,2,21,13,49,52,9,5.78,9,10,1,1,2,13,20,79,5.78,5
10195,0,77,59,0,T,2,40,H,F,2,0,P,0,7,654,250,65,13433,0,40,19,26,0,0,A,3,0.238,14,0.364,14,5,4,17,21,56,134,12,11.17,11,16,5,6,6,15,15,75,11.17,6
10196,0,17,39,0,U,1,3,H,F,7,1,B,0,,1583,439,50,34655,0,33,21,40,0,0,F,1,0.2,20,0.5,20,1,1,16,6,14,20,1,20,0,20,20,20,5,12,16,16,20,1
10197,0,137,,0,R,3,51,U,F,,0,N,0,0,346,152,71,7227,1,22,42,27,0,0,A,1,0.053,15,0,0,1,0,27,26,52,57,5,11.4,7,15,8,15,4,10,27,112,11.4,2
10198,0,41,50,0,R,1,42,H,M,7,1,B,2,,685,351,73,17355,1,22,43,19,0,0,A,1,0.1,19,0.111,22,2,1,22,14,33,48,3,16,12,22,10,22,6,12,22,41,16,2
10199,0,29,,0,T,2,38,H,U,3,0,P,0,,1175,358,71,17547,1,30,38,29,0,0,A,1,0.077,16,0.2,16,1,1,24,8,24,26,2,13,6,16,10,16,4,9,24,31,13,1
10200,1,137,45,0,R,2,47,H,M,5,0,P,0,2,364,246,81,9720,0,26,25,36,1,0,A,2,0.158,10,0.2,10,3,2,22,31,67,106,12,8.83,7,12,5,10,6,12,22,129,8.83,9
10201,0,137,36,0,C,3,30,U,F,,0,N,0,0,335,168,66,5184,0,17,38,13,1,0,A,2,0.188,13.33,0.143,15,3,1,19,25,58,58,7,8.29,12,15,3,10,5,11,19,113,8.29,4
10202,1,17,,0,C,2,28,U,F,,1,N,0,,614,222,50,13840,0,44,24,43,0,0,E,3,0.667,10,1,10,2,2,17,3,9,26,3,8.67,4,10,6,10,1,6,17,21,8.67,2
10203,0,101,52,0,S,2,18,H,M,2,1,B,5,7,2375,435,76,17574,0,32,32,25,1,1,S,4,0.45,10,0.545,10,9,6,18,26,69,319,33,9.67,7,12,5,10,6,15,18,89,9.67,16
10204,0,17,27,0,C,3,30,H,F,3,0,P,0,,448,222,72,11026,7,45,51,34,0,0,F,1,0.143,20,0.333,20,1,1,20,6,15,20,1,20,0,20,20,20,4,10,20,20,20,1
10205,0,77,,0,C,1,23,H,M,7,1,B,1,9,1620,455,82,25135,0,45,18,64,1,0,A,1,0.077,16,0,0,1,0,18,16,44,76,7,10.86,6,16,10,16,4,11,18,67,10.86,2
10206,1,137,49,0,S,1,12,H,F,7,1,B,0,8,810,408,88,15766,1,28,51,22,0,0,A,1,0.056,20,0,0,1,0,25,25,60,77,6,12.83,15,20,5,20,4,9,25,111,12.83,3
10207,0,113,68,0,S,1,13,U,M,,0,N,0,9,5368,981,93,37770,0,28,15,50,1,1,S,3,0.182,23.75,0.182,25,4,2,15,31,78,329,19,17.32,20,25,5,25,6,14,15,113,17.32,10
10208,0,65,,0,R,2,49,U,M,,0,N,0,,397,180,66,11697,0,32,28,30,0,0,A,1,0.105,13.5,0,0,2,0,18,15,38,41,4,10.25,11,17,6,17,6,12,18,57,10.25,1
10209,0,29,,0,T,2,40,U,F,4,0,P,0,,972,537,75,22233,0,30,28,26,0,0,A,1,0.167,10,0.333,10,2,2,21,9,22,20,2,10,10,15,5,15,5,12,21,27,10,2
10210,1,89,73,0,C,2,26,H,F,6,0,B,6,6,845,289,43,16460,1,43,29,37,1,7,A,1,0.19,14.5,0.2,16,4,2,17,25,68,159,16,9.94,14,17,3,14,5,14,17,85,9.94,8
10211,0,29,78,0,U,1,2,H,M,4,1,B,4,,1580,337,50,16535,0,32,10,47,0,0,N,4,0.333,5.33,0.5,4.5,3,2,16,8,19,25,4,6.25,5,9,4,9,5,11,15,23,6.25,2
10212,0,65,,0,T,2,36,U,M,3,1,B,1,0,388,280,87,10739,0,24,31,45,0,0,A,1,0.048,20,0,0,1,0,26,18,43,97,6,16.17,10,20,10,20,5,10,26,56,16.17,1
10213,0,77,45,1,T,2,39,H,M,5,0,P,0,1,599,320,81,12031,0,33,34,29,1,1,S,4,0.45,7.67,0.636,7.71,9,7,17,24,80,217,30,7.23,7,10,3,10,6,20,17,77,7.23,15
10214,1,41,72,0,C,2,27,H,F,4,1,M,10,,505,185,62,9368,2,37,24,38,0,0,A,1,0.067,15,0,0,1,0,19,10,25,25,2,12.5,5,15,10,15,4,10,19,38,12.5,1
10215,0,137,70,0,R,2,48,H,M,5,1,B,22,3,386,72,38,5020,0,44,9,56,1,9,L,1,0.158,10,0.2,10,3,2,15,31,80,215,30,7.17,6,11,5,10,4,11,15,128,7.17,17
10216,0,29,83,0,C,3,30,U,F,1,1,B,2,,428,214,82,9129,0,28,24,31,1,0,A,4,0.429,11.83,0.429,15,6,3,20,11,25,77,7,11,15,20,5,10,6,12,20,32,11,3
10217,0,53,,0,S,2,16,H,F,3,0,M,6,7,440,316,86,12067,0,42,47,46,0,0,A,1,0.118,15,0.125,20,2,1,17,18,39,55,4,13.75,10,20,10,20,7,13,17,52,13.75,2
10218,0,17,51,0,U,3,8,H,F,4,0,P,0,,1985,307,48,11576,0,24,31,49,0,0,F,1,0.2,15,0.5,15,1,1,17,5,13,15,1,15,0,15,15,15,4,10,17,17,15,1
10219,0,125,59,0,T,2,38,H,F,3,1,B,1,1,609,364,97,14835,0,34,23,55,1,0,A,1,0,0,0,0,0,0,,27,69,86,19,4.53,10,12,2,12,4,9,27,124,4.53,9
10220,0,137,,0,R,2,44,H,F,7,1,B,7,,528,275,87,13019,0,21,19,39,1,0,A,1,0.056,25,0,0,1,0,15,31,78,415,26,15.96,21,26,5,25,5,12,15,127,15.96,14
10221,0,17,57,0,U,3,9,H,M,3,0,P,0,,488,271,48,12560,0,17,30,21,0,0,F,1,0.2,15,0.5,15,1,1,17,5,13,15,1,15,0,15,15,15,4,10,17,17,15,1
10222,0,41,,0,C,2,26,U,M,,0,N,0,,805,302,88,13771,4,38,31,50,0,0,E,1,0.25,12.5,0.5,12.5,2,2,21,7,16,37,4,9.25,10,15,5,15,2,6,21,41,9.25,3
10223,0,137,42,0,R,2,49,U,F,4,0,P,0,4,619,264,36,17250,0,30,56,9,1,4,A,1,0.136,22.67,0.091,22,3,1,26,33,76,320.06,20,16,25.94,27,1.06,23,5,11,26,124,16,10
10224,0,137,74,1,?,?,,H,F,3,1,B,1,7,641,311,75,13409,0,0,0,0,1,0,A,1,0,0,0,0,0,0,,29,122,430,13,33.08,50,50,0,0,5,42,4,128,33.08,6
10225,0,89,,0,C,1,24,U,U,,0,N,0,9,2295,579,87,32097,0,54,47,56,0,0,A,1,0.077,15,0,0,1,0,18,15,44,33,5,6.6,12,15,3,15,4,10,18,81,6.6,1
10226,0,65,53,0,C,3,31,H,F,6,1,B,4,5,721,140,43,12605,1,32,18,17,0,0,L,1,0.15,11.33,0.2,9,3,2,15,20,51,95,11,8.64,11,16,5,16,4,11,15,63,8.64,4
10227,1,17,45,0,S,1,14,H,M,7,1,B,5,,1208,571,92,20295,0,37,30,28,0,0,F,1,0.143,15,0,0,1,0,19,6,15,15,1,15,0,15,15,15,4,10,19,19,15,0
10228,0,89,61,0,S,3,21,H,F,5,0,B,8,6,472,327,78,9705,5,27,32,20,0,0,A,1,0.045,40,0,0,1,0,31,24,56,203,6,33.83,97,100,3,100,6,15,18,92,33.83,2
10229,1,41,39,0,T,1,34,U,F,5,0,B,4,,1363,491,73,23656,0,27,37,35,1,0,A,4,0.238,8.8,0.3,8.67,5,3,17,15,40,62,8,7.75,5,10,5,10,6,14,17,41,7.75,4
10230,0,77,,0,S,1,13,U,F,,0,N,0,,842,500,91,20002,0,47,18,32,0,0,A,1,0.125,17.5,0.333,17.5,2,2,16,17,48,67,5,13.4,19,25,6,25,5,13,16,75,13.4,4
10231,0,65,52,0,S,1,13,H,F,6,1,B,15,7,2209,482,78,18680,0,37,5,51,0,0,A,3,0.143,17.33,0.2,18.5,3,2,15,19,51,89,7,12.71,15,20,5,20,6,13,15,63,12.71,3
10232,1,89,55,0,R,2,47,U,F,1,0,P,0,,489,191,76,8579,0,24,36,27,1,1,S,2,0.176,13.67,0.429,13.67,3,3,20,20,54,92,10,9.2,10,15,5,15,6,13,20,79,9.2,7
10233,0,65,77,0,S,1,12,H,U,4,1,B,1,8,919,488,95,16273,4,28,65,2,0,0,A,1,0,0,0,0,0,0,,16,62,70,5,14,8,18,10,18,5,26,26,57,14,2
10234,0,101,71,0,C,3,30,U,F,3,1,B,15,,256,184,57,8406,0,34,24,33,0,0,A,2,0.235,9.75,0,0,4,0,15,21,56,62,9,6.89,17,20,3,20,5,13,15,91,6.89,3
10235,1,29,78,0,T,2,36,U,M,2,1,P,0,,582,217,68,12588,0,27,22,31,0,0,A,2,0.143,21,0.286,21,2,2,17,11,26,48,3,16,26,32,6,6,6,13,15,29,16,2
10236,0,137,78,0,R,2,49,U,M,3,0,P,0,2,446,257,80,11441,0,31,33,32,0,0,A,1,0.136,17.33,0.091,20,3,1,25,30,62,109,11,9.91,19,20,1,20,6,11,25,131,9.91,5
10237,0,137,62,0,R,2,49,H,F,6,0,P,0,3,450,303,85,11071,0,18,32,24,1,6,A,1,0.1,10,0.111,10,2,1,26,28,73,102,18,5.67,8,10,2,10,4,9,26,130,5.67,11
10238,0,53,70,0,T,2,40,H,F,4,0,M,16,7,1911,400,50,18150,1,31,38,30,1,4,A,1,0.095,17.5,0.1,15,2,1,19,18,44,65,7,9.29,17,20,3,20,6,14,19,52,9.29,5
10239,0,29,,0,T,2,36,H,M,6,0,P,0,,505,198,92,10801,0,22,28,42,1,0,A,3,0.333,5.75,0.5,6,4,3,17,10,23,23,4,5.75,7,10,3,5,6,12,17,28,5.75,3
10240,0,65,70,0,T,2,36,H,F,2,1,B,0,2,449,258,77,13969,0,33,37,30,1,1,S,4,0.25,7.25,0.5,7.25,4,4,17,17,43,53,8,6.63,7,10,3,9,6,14,17,56,6.63,5
10241,0,77,71,0,T,1,34,U,F,1,1,B,6,,1021,347,72,24692,0,39,27,37,1,0,A,4,0.4,4.17,0.571,3.75,6,4,16,17,43,38,11,3.45,3,5,2,2,5,12,16,66,3.45,7
10242,0,125,35,0,R,2,44,H,F,4,0,P,0,6,756,370,82,14255,1,27,29,32,1,1,S,3,0.368,10,0.545,10,7,6,22,27,62,125,17,7.35,10,12,2,12,6,13,22,123,7.35,11
10243,0,101,85,0,T,1,35,H,M,4,1,B,3,5,847,498,96,24677,0,52,13,36,0,0,A,1,0.176,13.33,0.111,10,3,1,20,22,54,76,8,9.5,10,15,5,15,5,12,20,89,9.5,4
10244,0,137,55,0,T,1,34,H,M,5,1,B,3,8,1058,410,68,20394,6,39,40,17,1,11,A,1,0.1,23,0.2,23,2,2,21,32,81,535,43,12.44,22,25,3,25,5,11,21,125,12.44,19
10245,0,101,37,1,C,2,27,H,F,2,0,P,0,4,647,266,49,15407,0,33,29,36,1,1,S,2,0.143,16.33,0.3,16.33,3,3,16,31,118,352,21,16.76,20,25,5,19,9,35,7,105,16.76,8
10246,0,137,43,0,R,2,49,U,U,,0,N,0,5,493,324,80,11164,0,29,27,32,1,3,A,1,0.136,20,0.091,20,3,1,25,30,67,166,10,16.6,25,30,5,20,6,11,25,127,16.6,6
10247,0,89,7,0,U,4,10,H,F,2,1,B,0,2,397,183,69,7644,0,27,26,22,0,0,A,1,0.118,15,0,0,2,0,17,20,52,56,5,11.2,10,15,5,15,4,12,17,78,11.2,3
10248,0,113,76,0,S,1,11,H,M,7,1,B,56,8,2395,568,75,23579,0,33,22,34,1,0,A,1,0.077,15,0,0,1,0,17,22,57,86,9,9.56,12,15,3,15,4,11,17,105,9.56,4
10249,0,137,,0,S,1,14,H,M,7,1,B,1,8,3356,1236,96,54641,0,28,10,43,1,6,A,1,0.158,11.67,0.3,11.67,3,3,24,34,82,454.05,30,15.14,20,25,5,10,5,10,24,129,15.14,20
10250,0,137,74,0,U,3,8,H,F,6,0,B,2,6,491,182,92,9985,0,29,0,74,1,3,A,1,0.273,22.83,0.273,20.67,6,3,25,35,88,489,34,14.38,27,30,3,24,6,13,25,128,14.38,20
10251,0,29,61,0,R,2,49,U,F,2,1,B,0,,396,283,87,10781,0,28,36,37,1,3,F,4,0.375,6.5,0.429,7,6,3,15,16,39,42,7,6,6,9,3,5,9,19,15,32,6,4
10252,0,125,69,0,C,1,24,H,F,5,1,B,1,,1594,623,97,22081,0,34,55,19,1,0,A,1,0.111,25,0,0,1,0,20,19,52,160,13,12.31,20,25,5,25,4,8,20,124,12.31,9
10253,0,53,53,0,U,3,8,H,F,7,1,B,7,5,986,511,98,18467,0,30,32,24,0,0,A,1,0.105,15,0,0,2,0,18,17,39,62,5,12.4,8,18,10,18,6,12,18,53,12.4,2
10254,0,41,69,0,T,2,40,H,M,4,1,B,0,,579,288,75,12881,0,33,37,8,0,0,A,1,0.125,13,0,0,2,0,18,11,32,31,3,10.33,10,15,5,15,4,11,18,44,10.33,1
10255,1,77,53,0,S,2,16,H,M,7,0,P,0,6,581,295,72,13925,0,34,25,43,1,0,A,1,0.095,20,0.2,20,2,2,22,23,61,170,10,17,15,20,5,20,6,12,22,76,17,6
10256,0,89,53,0,R,3,51,U,F,3,0,P,0,2,383,238,90,9102,0,25,35,39,0,0,A,1,0.059,15,0.143,15,1,1,23,18,46,50,4,12.5,5,15,10,15,4,10,23,81,12.5,3
10257,1,113,57,0,C,2,27,H,F,5,0,P,0,3,385,310,86,12612,0,36,27,23,1,0,A,1,0.118,20,0.222,20,2,2,21,27,63,144,11,13.09,16,21,5,21,6,13,21,105,13.09,9
10258,0,65,51,0,T,3,41,H,F,2,1,P,0,3,421,229,83,10125,7,47,40,12,1,1,S,4,0.368,9.14,0.364,8.75,7,4,19,22,51,124,16,7.75,5,10,5,9,6,12,19,65,7.75,7
10259,0,41,27,0,S,2,18,H,F,5,1,B,7,,696,327,69,16064,1,25,51,5,0,0,A,2,0.167,15,0.125,15,3,1,18,13,33,50,4,12.5,15,20,5,20,6,14,18,43,12.5,2
10260,1,29,42,0,S,1,14,H,M,6,1,B,1,,2429,315,21,18050,0,38,15,43,1,0,A,3,0.308,8.75,0.333,7.5,4,2,18,10,26,35,4,8.75,5,10,5,10,6,13,18,29,8.75,2
10261,0,41,7,0,T,2,36,H,M,1,1,B,28,,326,100,54,8851,0,29,0,88,0,0,A,1,0.15,19.33,0,0,3,0,15,13,32,68,4,17,16,26,10,16,6,13,15,37,17,0
10262,0,137,79,1,T,3,41,H,F,5,1,B,0,1,555,231,42,9836,3,32,25,17,1,1,S,4,0.474,6,0.545,6.67,9,6,15,33,89,175,25,7,6,10,4,5,6,15,15,128,7,13
10263,1,77,70,0,T,1,34,H,F,7,1,B,4,9,1513,521,72,28124,2,35,27,42,1,0,A,2,0.176,22.33,0.25,22.5,3,2,20,20,54,111,6,18.5,15,25,10,22,6,15,20,77,18.5,5
10264,0,101,73,0,T,2,37,H,F,4,1,B,2,2,532,235,52,10328,0,19,17,43,1,0,A,1,0.05,15,0,0,1,0,27,23,60,68,7,9.71,12,15,3,15,4,9,27,104,9.71,3
10265,1,29,,0,C,1,24,U,F,,0,N,0,,747,373,79,13628,3,32,74,13,0,0,A,2,0.231,10,0.333,10,3,2,19,10,25,30,3,10,10,15,5,15,6,14,19,29,10,2
10266,0,29,35,0,R,3,50,U,F,7,0,P,0,,355,138,81,7769,0,24,27,40,0,0,A,1,0.154,15,0,0,2,0,26,8,22,30,2,15,10,20,10,20,4,9,26,31,15,0
10267,0,101,85,0,R,2,46,H,F,6,0,P,0,,655,271,88,12513,0,46,17,52,1,0,A,1,0.059,20,0.143,20,1,1,21,20,55,52,7,7.43,15,20,5,20,6,12,21,91,7.43,6
10268,1,137,45,0,T,2,39,U,F,4,1,B,9,3,746,346,85,10165,0,32,41,27,1,1,S,2,0.15,15.67,0.2,13.5,3,2,21,32,77,268,17,15.76,20,25,5,20,6,13,17,126,15.76,12
10269,0,137,49,0,R,2,46,H,F,5,1,B,0,3,650,237,74,12781,1,22,22,43,1,0,A,1,0.045,30,0,0,1,0,26,31,64,145,7,20.71,20,30,10,30,5,10,26,108,20.71,4
10270,0,137,87,0,T,2,36,H,U,2,1,P,0,4,510,233,58,9845,0,29,24,55,1,1,S,4,0.133,6.5,0.143,8,2,1,20,26,70,144,22,6.55,7,10,3,8,4,8,18,125,6.55,16
10271,1,65,72,0,S,1,11,H,M,6,1,B,13,9,1645,676,68,28770,0,23,17,38,0,0,A,3,0.227,25.6,0.091,21,5,1,15,21,50,203,9,22.56,19,29,10,25,6,13,15,56,22.56,4
10272,0,113,37,0,R,2,44,U,M,3,1,M,2,3,705,272,69,13686,0,39,42,18,0,0,A,2,0.19,11.5,0.2,11.5,4,2,15,27,66,113,12,9.42,10,13,3,10,5,13,15,113,9.42,7
10273,0,137,6,0,S,1,12,H,M,1,1,B,5,8,1099,431,86,17079,0,34,27,27,1,1,S,3,0.263,5,0.125,5,5,1,15,29,76,103,20,5.15,3,8,5,5,5,12,15,129,5.15,11
10274,1,65,28,0,T,2,40,U,M,,0,N,0,4,1037,472,73,17888,7,39,64,11,0,0,A,1,0.056,20,0.125,20,1,1,17,18,45,65,4,16.25,15,20,5,20,6,12,17,57,16.25,3
10275,0,29,65,0,S,1,12,H,M,5,1,P,0,,1375,377,59,14056,0,58,47,43,0,0,A,1,0.111,22.5,0.125,20,2,1,19,12,30,45,2,22.5,5,25,20,25,6,14,19,33,22.5,1
10276,0,41,,0,U,2,6,U,M,,0,N,0,2,840,134,24,7348,0,11,0,47,1,5,A,1,0.1,11,0.091,12,2,1,30,17,39,83,8,10.38,9,15,6,15,6,12,25,44,10.38,3
10277,0,137,46,0,R,3,51,U,F,1,0,P,0,1,343,215,78,8644,0,31,33,28,1,12,A,2,0.053,20,0.111,20,1,1,17,22,53,92,11,8.36,17,20,3,10,6,13,15,128,8.36,6
10278,1,29,67,0,R,1,42,H,F,7,1,B,24,,918,364,61,18685,0,14,11,56,0,0,A,1,0.176,13,0.125,12,3,1,18,12,26,39,3,13,7,17,10,17,5,11,18,32,13,1
10279,0,113,76,0,U,3,9,H,F,5,0,P,0,0,813,163,8,7075,0,3,50,50,1,1,S,3,0.25,7.4,0.2,8.5,5,2,19,27,60,83,14,5.93,7,10,3,5,6,13,19,103,5.93,9
10280,1,137,,0,T,2,38,U,F,5,0,B,2,5,675,272,56,13135,0,41,28,37,1,1,S,3,0.278,3.6,0.375,3,5,3,17,28,74,74,24,3.08,4,5,1,3,5,12,17,130,3.08,16
10281,0,17,,0,S,2,18,U,F,2,1,B,0,,694,332,65,13630,1,34,26,28,0,0,F,1,0.2,20,0.5,20,1,1,16,6,14,20,1,20,0,20,20,20,5,12,16,16,20,1
10282,0,41,,0,C,1,24,U,F,,0,N,0,,452,201,35,9765,0,34,32,47,0,0,A,1,0.056,16,0.143,16,1,1,23,11,32,31,3,10.33,11,16,5,16,4,12,23,40,10.33,2
10283,0,17,43,0,S,1,13,H,F,7,0,B,3,,1452,494,88,22326,0,31,8,58,0,0,F,1,0.2,15,0,0,1,0,16,5,13,15,1,15,0,15,15,15,4,11,16,16,15,0
10284,0,29,,0,T,2,36,U,M,2,1,P,0,,400,198,72,9818,0,25,37,41,0,0,N,3,0.2,7.5,0.4,7.5,2,2,21,9,22,20,3,6.67,5,10,5,5,6,12,19,24,6.67,2
10285,1,137,75,0,U,1,2,H,M,6,1,B,1,7,2257,485,84,17885,0,43,28,41,1,10,A,1,0.333,8.83,0.444,8.75,6,4,19,42,114,247,38,6.5,5,10,5,10,10,24,19,129,6.5,22
10286,0,89,83,0,C,3,30,H,F,2,1,B,15,4,518,198,62,10283,0,35,18,30,0,0,A,2,0.15,16.67,0.111,16,3,1,18,21,53,89,8,11.13,13,18,5,18,6,13,18,73,11.13,2
10287,0,29,77,0,T,2,40,H,F,5,0,B,4,,756,356,85,16615,0,50,39,40,0,0,N,1,0.1,15,0.25,15,1,1,24,6,15,15,1,15,0,15,15,15,3,7,24,24,15,1
